"Username","Character","UserID","Method of Departure","Date of Departure"
"@madamezuri","Ilaw","457645105122115615","Retirement","2024-07-09"
"@madamezuri","Astrid","457645105122115615","Retirement","2024-05-30"
"@galebolg.","Sylvain","234838935442948098","Retirement","2024-05-24"
"@.macrow","Jodie","444194335492276225","Retirement","2024-05-18"
"@madamezuri","Q","457645105122115615","Retirement","2024-05-14"
"@yoshimage","Donovan Goodwin","180873257480617984","Retirement","2024-05-08"
"@agentdj","Carmelita","319372431221587968","Retirement","2024-05-05"
"@madamezuri","Kestrel","457645105122115615","Retirement","2024-05-05"
"@madamezuri","Cilia","457645105122115615","Retirement","2024-04-16"
"@theelusivegin","Edgar","124671590775390208","Retirement","2024-04-15"
"@facinarose","Maria","194955560276197377","Retirement","2024-04-08"
"@2naf1sh","Cerioporus Squamosus","365605862615810049","Retirement","2024-03-23"
"@agentdj","Kir'taka","319372431221587968","Retirement","2024-03-23"
"@agentdj","Alain Malum","319372431221587968","Retirement","2024-03-22"
"@nut_wizard","Harper","594008151779573762","Retirement","2024-03-18"
"@sawzie","Yves Cavaliere","66337541518790656","Retirement","2024-03-16"
"@solotic.","Elizabeth ""Mory"" Moraine","384371410576998401","Retirement","2024-02-18"
"@agentdj","Myka","319372431221587968","Retirement","2024-02-07"
"@seraphim","Concord","108744783031185408","Retirement","2024-02-02"
"@samikazuki","Professor Couedour","173547590694993920","Retirement","2024-01-29"
"@agentdj","Mirio Astra","319372431221587968","Retirement","2023-12-30"
"@desyov","Lua Aiden","247940619022893065","Retirement","2023-12-22"
"@moofah","Astrid","182937998340390912","Retirement","2023-12-05"
"@thebladesinger","Roy","173648039725105152","Retirement","2023-12-05"
"@agentdj","Trick Lockheart","319372431221587968","Retirement","2023-11-28"
